X,Y,UsoVegetacaoIBGE_tif,altitude_br_tif,declividade_br_tif,density3_br_tif,ModisGPP_MOD17A2_2010_rec_tif,ModisNPP_MOD17A3_2010_rec_tif,ModisVCF_MOD44B_2010_rec_tif,sa2001tree_br_tif,UsoAntropicoIBGE_tif
-49.63521099,-5.001324176,2,115.22,201070.3,24.23,351,24808,13,76,1
-48.33526299,-2.068108176,5,23.54,23649.62,24.8,611,24286,36,76,2
-52.01011599,-2.193103176,28,54.94,42231.54,14.37,33,20981,62,87,1
-52.49342999,-2.426427176,2,57.48,72219.59,23.62,41,20474,65,62,1
-53.93503899,-7.267900176,2,239.01,233608.3,17.81,660,24915,75,77,1
-52.24343999,-8.509517176,16,320.58,1198022,12.65,659,23914,62,79,1
-51.30181099,-6.476265176,5,231.97,86742.07,25.2,189,15194,61,15,7
-57.69322199,-5.334644176,2,197.73,186596,9.36,595,26082,79,69,1
-55.57663999,-6.992911176,6,205.86,56457.88,25.72,633,25852,70,77,1
-55.57663999,-9.151158176,7,380.73,44253.14,17.92,332,24981,77,81,1
-56.22661399,-5.901288176,2,188.92,144580,15.06,515,24932,80,74,1
-50.21852099,-8.451186176,34,228.14,75062.13,14.54,299,17079,16,56,1
-52.69342199,-8.534516176,13,287.4,192032.41,22.23,678,24763,76,79,1
-56.39327399,-5.667964176,16,269.13,894427.69,7.01,660,25294,77,92,1
-56.73492699,-0.093187176,2,205.46,98912.03,12.78,471,25796,74,84,1
-51.89345399,-7.242901176,13,269.58,99646.75,19.06,664,24744,63,49,1
-50.39351399,-1.484798176,18,29.83,1228.11,8.41,37,24377,67,89,1
-55.63497099,1.748405824,4,340.84,50096.8,24.3,140,7425,6,27,1
-52.61842499,-2.976405176,28,100.54,48692.95,18.53,149,24526,34,61,1
-48.55192099,-5.751294176,25,201.64,79407.98,15.23,84,23869,41,21,1
-57.41823299,-0.893155176,2,183.85,158598.3,14.42,533,26398,73,79,1
-47.20197499,-3.851370176,25,191.48,262878.81,16.04,277,23273,74,87,1
-56.81825699,-4.593007176,2,161.57,22113.99,7.31,562,22449,63,73,1
-57.26823899,-1.226475176,2,58.51,80566.81,19.81,470,27516,76,84,1
-52.36843499,-8.842837176,41,290.14,89928.72,16.44,631,22795,76,77,1
-49.73520699,-3.376389176,5,43.49,34595.98,27.01,599,25935,38,28,7
-54.34335599,-8.926167176,2,383.01,291739.69,15.37,672,24743,64,84,1
-54.06003399,-9.551142176,13,315.33,135564.8,23.36,692,24647,80,85,1
-51.97678399,-6.817918176,2,255.23,772950.19,18.02,286,13847,15,36,1
-49.61854499,-2.143105176,18,14.83,15732.85,20.97,636,24023,35,22,1
-49.59354599,-3.559715176,5,37.19,251034.8,22.51,566,23103,20,54,2
-52.69342199,-8.217862176,16,239.49,157678,23.03,713,24847,78,77,1
-55.73496699,0.990102824,2,351.92,51277.46,20.64,511,25172,77,62,1
-53.05174099,-6.742921176,2,249.02,263515.09,13.02,540,25118,73,48,1
-49.21856099,-2.226435176,18,8.09,56498.39,16.18,640,25043,48,10,1
-51.81012399,-3.001404176,5,51.87,75583.31,20.37,217,24278,12,9,3
-47.15197699,-3.051402176,18,170.51,10912.38,23.4,578,21326,59,68,1
-48.26859899,-2.384762176,5,48.08,54090.13,12.17,653,23793,28,73,3
-56.90991999,-1.251474176,2,41.32,91140.93,25.19,152,26955,75,91,1
-55.79329799,-4.476345176,5,62.79,197531.91,26.77,320,25965,74,55,6
-47.89361399,-0.643165176,17,15.97,25208.51,3.68,259,13605,32,28,1
-49.81853699,-0.751494176,6,20.84,35736.04,16.39,257,25555,77,84,1
-49.81020399,-0.918154176,6,21.5,16980.87,15.98,590,23985,74,86,1
-53.87670799,-4.976325176,16,210.91,78707.05,7.2,249,24160,77,84,1
-53.18506899,-5.767960176,13,227.86,45088.45,28.24,592,23312,78,70,1
-51.90178699,-1.809785176,28,40.38,49484.98,18.71,478,22100,59,73,1
-53.96837099,-0.526503176,1,272.5,142971.8,14.66,175,21993,65,79,1
-48.48525699,-0.468172176,17,5.25,91013.72,6.56,704,24997,37,2,1
-50.41851299,-7.784546176,13,420.92,368577,19.34,666,24090,70,16,1
-48.60191899,-3.351390176,2,94.93,78050.06,28.05,628,24067,77,82,1
-57.01824899,-7.626219176,7,424.93,332098.81,16.73,502,23610,80,44,1
-48.42692599,-4.026363176,2,140.79,89967.96,18.33,611,24111,81,87,1
-57.85154899,0.881773824,2,462.75,103957.4,11.06,373,24407,60,90,1
-49.74353999,-6.051282176,5,366.09,948654.69,22.7,126,15263,15,72,7
-55.98495699,-7.642885176,16,282.35,147454.41,17.22,611,24661,80,81,1
-57.15157699,-4.942993176,2,203.41,148581.09,14.57,223,25049,78,84,1
-53.18506899,-9.001164176,16,313.01,33932.74,17.31,627,24716,75,84,1
-54.37668799,-2.176437176,5,15.63,44759.97,20.34,579,26332,21,1,7
-48.50192299,-5.134652176,5,133.98,47045.48,28.53,164,14436,13,30,6
-51.23514699,-8.851170176,5,328.44,64409.45,11.62,310,17190,65,71,7
-57.89321399,-0.559835176,2,142.52,108760.1,27.47,461,27230,79,86,1
-54.22669399,1.556746824,2,301.72,99675.62,12.79,189,25132,78,80,1
-53.14340399,-4.909661176,16,205.13,49880.21,19.25,195,23232,45,82,1
-56.00162299,0.948437824,1,313.5,117394,24.86,370,28440,62,82,1
-51.64346399,-4.093027176,1,190.86,69053.93,12.73,142,25300,68,53,1
-50.28518499,-3.918034176,5,101.22,51070.3,13.7,274,14493,18,83,7
-50.00186299,-4.659671176,2,166.64,80768.41,9.7,133,23974,77,58,1
-55.07665999,-6.409601176,16,234.16,91113.39,24.62,617,25698,79,70,1
-55.91829299,-1.751454176,5,1.97,4489.63,24.89,355,20216,48,33,1
-56.30161099,-2.418094176,5,15.75,160031.8,27.19,528,23295,55,68,7
-51.01015599,-8.342857176,16,328.64,112984.5,16.69,630,22068,12,53,1
-51.03515499,-3.776373176,1,153.2,171183.2,13.52,406,23770,35,58,1
-52.86008199,-8.809505176,16,276.24,159715.5,23.24,571,24771,78,84,1
-53.71004799,-7.067908176,2,258.3,145167,16.56,36,25070,84,86,1
-52.43509899,-2.009777176,2,57.13,43911.08,6.89,198,24578,76,92,1
-55.84329599,-8.784506176,39,325.37,166674.41,20.93,471,24996,80,80,1
-54.58501299,-3.201396176,28,110.3,220592.8,15.15,130,20252,77,79,1
-50.89349399,-8.292859176,16,532.19,634975.62,8.44,420,22841,74,68,1
-55.50997599,-7.992871176,16,282.83,51340.71,21.39,719,23186,80,88,1
-50.45184499,-1.209809176,18,26.69,24537.89,15.31,294,23451,37,84,1
-50.94349199,-8.551182176,16,340.6,254311.91,17.42,708,22262,21,18,1
-51.71846099,-3.968032176,16,150.46,216689.2,23.26,435,23400,77,62,1
-55.95162499,-4.759667176,5,204.89,124312.3,17.22,353,19719,63,75,6
-49.92686599,-4.892995176,2,142.73,103790.1,19.91,79,25946,51,57,1
-52.71008799,-3.418054176,5,184.12,286317.81,19.08,170,12775,55,68,7
-56.68492899,-1.051482176,1,146.77,153687.09,11.92,402,25780,83,83,1
-52.29343799,-4.934660176,16,218.49,42867.58,15.5,201,24995,70,74,1
-52.13511099,-1.626459176,28,5.11,156142.2,25.97,628,25828,67,77,1
-53.11840499,-4.801332176,16,229,256964.8,16.35,239,22590,77,71,1
-54.12669799,-7.251234176,16,242.91,147503.41,24.35,560,24426,78,65,1
-56.88492099,-0.093187176,2,147.58,65694.45,23.39,399,25884,56,78,1
-48.73524699,-2.959739176,18,73.02,5730.22,11.87,663,25106,38,39,1
-47.48529699,-2.768080176,5,85.69,169150.5,18.37,298,16692,22,79,7
-49.84353599,0.131803824,11,7.49,78452.21,18.84,200,13699,10,75,1
-51.81012399,-9.109493176,16,349.93,81893.87,23.14,271,11990,21,83,1
-57.60989199,-7.434560176,7,253.05,415145.09,18.94,545,26081,75,81,1
-54.81833699,-7.567888176,13,266.25,96682.08,17.02,669,25355,77,89,1
-52.81008399,-4.118026176,16,203.57,53274.56,6.76,163,23786,71,65,1
